"YEAR","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","SERVICE_CLASS","REV_PAX_ENP_110","REV_PAX_MILES_140","REV_PAX_MILES_COACH","REV_PAX_MILES_FIRST","NON_REV_PAX_MILES","REV_TON_MILES_240","REV_TON_MILES_FREIGHT_247","REV_TON_MILES_PAX_241","REV_TON_MILES_USPR_MAIL","REV_TON_MILES_USNONPR_MAIL","REV_TON_MILES_MAIL_249","REV_TON_MILES_FOREIGN_MAIL","REV_TON_MILES_EXPRESS_MAIL","NON_REV_TON_MILES","AVL_TON_MILES_280","AVL_SEAT_MILES_320","AVL_SEAT_MILES_FIRST","AVL_SEAT_MILES_COACH","REV_ACRFT_MILES_FLOWN_410","REV_ACRFT_MILES_SCH_430","REV_ACRFT_MILES_SCH_COMPLETED","REV_ACRFT_DEP_PERF_510","REV_ACRFT_HRS_AIRBORNE_610","ACRFT_HRS_RAMPTORAMP_630",
2015,"VX","Virgin America","D","VX","Virgin America",3,3,"F",481593.00,724140389.00,0.00,724140389.00,,72414039.00,0.00,72414039.00,,,0.00,,,,122971768.00,943624740.00,943624740.00,0.00,6595604.00,6765171.00,,4652.00,14363.00,16124.00,
2015,"VX","Virgin America","D","VX","Virgin America",3,3,"F",444035.00,649034812.00,0.00,649034812.00,,64903481.00,0.00,64903481.00,,,0.00,,,,106671670.00,818048118.00,818048118.00,0.00,5721051.00,6007123.00,,4070.00,12539.00,14103.00,
2015,"VX","Virgin America","D","VX","Virgin America",3,3,"F",558868.00,833193922.00,0.00,833193922.00,,83319392.00,0.00,83319392.00,,,0.00,,,,128684191.00,986776178.00,986776178.00,0.00,6901948.00,6987056.00,,4820.00,15058.00,16888.00,
2015,"VX","Virgin America","D","VX","Virgin America",3,3,"F",569359.00,864761708.00,0.00,864761708.00,,86476171.00,0.00,86476171.00,,,0.00,,,,131911658.00,1011579655.00,1011579655.00,0.00,7075031.00,7094267.00,,4901.00,15445.00,17264.00,
2015,"VX","Virgin America","D","VX","Virgin America",3,3,"F",585476.00,875134593.00,0.00,875134593.00,,87513459.00,0.00,87513459.00,,,0.00,,,,135090629.00,1037115807.00,1037115807.00,0.00,7246401.00,7260786.00,,5207.00,15862.00,17832.00,
2015,"VX","Virgin America","D","VX","Virgin America",3,3,"F",595257.00,906079455.00,0.00,906079455.00,,90607946.00,0.00,90607946.00,,,0.00,,,,137577337.00,1057254962.00,1057254962.00,0.00,7380346.00,7397018.00,,5242.00,15935.00,17958.00,
2015,"VX","Virgin America","D","VX","Virgin America",3,3,"F",615242.00,935026757.00,0.00,935026757.00,,93502676.00,0.00,93502676.00,,,0.00,,,,142313070.00,1091697138.00,1091697138.00,0.00,7633260.00,7651920.00,,5393.00,16389.00,18575.00,
2015,"VX","Virgin America","D","VX","Virgin America",3,3,"F",627795.00,927133811.00,0.00,927133811.00,,92713381.00,0.00,92713381.00,,,0.00,,,,144323814.00,1109570246.00,1109570246.00,0.00,7742431.00,7765985.00,,5665.00,16641.00,18853.00,
2015,"VX","Virgin America","D","VX","Virgin America",3,3,"F",550129.00,799367345.00,0.00,799367345.00,,79936735.00,0.00,79936735.00,,,0.00,,,,132824597.00,1022734188.00,1022734188.00,0.00,7126188.00,7133617.00,,5144.00,15336.00,17304.00,
2015,"VX","Virgin America","D","VX","Virgin America",3,3,"F",613227.00,888289700.00,0.00,888289700.00,,88828970.00,0.00,88828970.00,,,0.00,,,,140065136.00,1077869847.00,1077869847.00,0.00,7514274.00,7538683.00,,5442.00,16222.00,18272.00,
2015,"VX","Virgin America","D","VX","Virgin America",3,3,"F",588034.00,864645614.00,0.00,864645614.00,,86464561.00,0.00,86464561.00,,,0.00,,,,140075856.00,1076534865.00,1076534865.00,0.00,7514001.00,7564857.00,,5355.00,16281.00,18278.00,
2015,"VX","Virgin America","D","VX","Virgin America",3,3,"F",611959.00,904743913.00,0.00,904743913.00,,90474391.00,0.00,90474391.00,,,0.00,,,,146200039.00,1120531280.00,1120531280.00,0.00,7840705.00,7871962.00,,5490.00,17111.00,19258.00,
2015,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",4.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,1.00,
2015,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",0.00,0.00,0.00,0.00,,19.00,19.00,0.00,,,0.00,,,,109.00,930.00,930.00,0.00,155.00,0.00,,3.00,2.00,2.00,
2015,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",9.00,114.00,0.00,114.00,,11.00,0.00,11.00,,,0.00,,,,55.00,474.00,474.00,0.00,79.00,0.00,,4.00,2.00,2.00,
2015,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",2132.00,413483.00,0.00,413483.00,,41348.00,0.00,41348.00,,,0.00,,,,234036.00,702108.00,702108.00,0.00,78012.00,78012.00,,413.00,328.00,392.00,
2015,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",410.00,426602.00,0.00,426602.00,,42660.00,0.00,42660.00,,,0.00,,,,238836.00,716508.00,716508.00,0.00,79612.00,79612.00,,410.00,337.00,426.00,
2015,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",2297.00,447864.00,0.00,447864.00,,44786.00,0.00,44786.00,,,0.00,,,,260403.00,781209.00,781209.00,0.00,86801.00,86801.00,,457.00,367.00,439.00,
2015,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",396.00,342764.00,0.00,342764.00,,34276.00,0.00,34276.00,,,0.00,,,,221802.00,665406.00,665406.00,0.00,73934.00,73934.00,,396.00,310.00,376.00,
2015,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",1868.00,357146.00,0.00,357146.00,,35715.00,0.00,35715.00,,,0.00,,,,136808.00,713781.00,713781.00,0.00,79309.00,79309.00,,429.00,336.00,408.00,
2015,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",1780.00,338857.00,0.00,338857.00,,33886.00,0.00,33886.00,,,0.00,,,,127269.00,664011.00,664011.00,0.00,73779.00,73779.00,,396.00,315.00,385.00,
2015,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",2666.00,507583.00,0.00,507583.00,,50758.00,0.00,50758.00,,,0.00,,,,160396.00,836847.00,836847.00,0.00,92983.00,92983.00,,490.00,389.00,487.00,
2015,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",3002.00,557511.00,0.00,557511.00,,55751.00,0.00,55751.00,,,0.00,,,,167530.00,776952.00,776952.00,0.00,97119.00,97119.00,,526.00,403.00,507.00,
2015,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",934.00,180453.00,0.00,180453.00,,18045.00,0.00,18045.00,,,0.00,,,,67477.00,312936.00,312936.00,0.00,39117.00,39117.00,,205.00,165.00,203.00,
2015,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",861.00,164956.00,0.00,164956.00,,16496.00,0.00,16496.00,,,0.00,,,,79022.00,412290.00,412290.00,0.00,45810.00,45810.00,,243.00,195.00,242.00,
2015,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",2061.00,407780.00,0.00,407780.00,,40778.00,0.00,40778.00,,,0.00,,,,164803.00,859842.00,859842.00,0.00,95538.00,95538.00,,500.00,408.00,494.00,
2015,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",2036.00,388578.00,0.00,388578.00,,38858.00,0.00,38858.00,,,0.00,,,,154072.00,714536.00,714536.00,0.00,89317.00,89317.00,,481.00,384.00,482.00,
2015,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",351.00,10578.00,0.00,10578.00,,1424.00,168.00,1058.00,,,198.00,,,,4693.00,43272.00,43272.00,0.00,7212.00,0.00,,254.00,96.00,107.00,
2015,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",522.00,16066.00,0.00,16066.00,,2161.00,302.00,1607.00,,,253.00,,,,5877.00,54720.00,54720.00,0.00,9120.00,0.00,,314.00,118.00,132.00,
