"YEAR","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","SERVICE_CLASS","REV_PAX_ENP_110","REV_PAX_MILES_140","REV_PAX_MILES_COACH","REV_PAX_MILES_FIRST","NON_REV_PAX_MILES","REV_TON_MILES_240","REV_TON_MILES_FREIGHT_247","REV_TON_MILES_PAX_241","REV_TON_MILES_USPR_MAIL","REV_TON_MILES_USNONPR_MAIL","REV_TON_MILES_MAIL_249","REV_TON_MILES_FOREIGN_MAIL","REV_TON_MILES_EXPRESS_MAIL","NON_REV_TON_MILES","AVL_TON_MILES_280","AVL_SEAT_MILES_320","AVL_SEAT_MILES_FIRST","AVL_SEAT_MILES_COACH","REV_ACRFT_MILES_FLOWN_410","REV_ACRFT_MILES_SCH_430","REV_ACRFT_MILES_SCH_COMPLETED","REV_ACRFT_DEP_PERF_510","REV_ACRFT_HRS_AIRBORNE_610","ACRFT_HRS_RAMPTORAMP_630",
2013,"VX","Virgin America","D","VX","Virgin America",3,3,"F",407269.00,651247032.00,0.00,651247032.00,,65124703.00,0.00,65124703.00,,,0.00,,,,119933948.00,911512495.00,911512495.00,0.00,6428027.00,6430502.00,,4229.00,14035.00,15497.00,
2013,"VX","Virgin America","D","VX","Virgin America",3,3,"F",391605.00,598996109.00,0.00,598996109.00,,59899611.00,0.00,59899611.00,,,0.00,,,,103936558.00,788557883.00,788557883.00,0.00,5569870.00,5645755.00,,3725.00,12195.00,13493.00,
2013,"VX","Virgin America","D","VX","Virgin America",3,3,"F",495857.00,781359236.00,0.00,781359236.00,,78135924.00,0.00,78135924.00,,,0.00,,,,120273773.00,912928421.00,912928421.00,0.00,6445501.00,6472006.00,,4292.00,14154.00,15669.00,
2013,"VX","Virgin America","D","VX","Virgin America",3,3,"F",521340.00,848748939.00,0.00,848748939.00,,84874894.00,0.00,84874894.00,,,0.00,,,,133866394.00,1017655652.00,1017655652.00,0.00,7174927.00,7174927.00,,4554.00,15663.00,17373.00,
2013,"VX","Virgin America","D","VX","Virgin America",3,3,"F",571860.00,885314462.00,0.00,885314462.00,,88531446.00,0.00,88531446.00,,,0.00,,,,139787129.00,1066435746.00,1066435746.00,0.00,7494483.00,7503136.00,,5127.00,16355.00,18318.00,
2013,"VX","Virgin America","D","VX","Virgin America",3,3,"F",585610.00,920275832.00,0.00,920275832.00,,92027583.00,0.00,92027583.00,,,0.00,,,,141270619.00,1082282337.00,1082282337.00,0.00,7576194.00,7579956.00,,5097.00,16397.00,18389.00,
2013,"VX","Virgin America","D","VX","Virgin America",3,3,"F",581966.00,920115536.00,0.00,920115536.00,,92011554.00,0.00,92011554.00,,,0.00,,,,145909902.00,1114549894.00,1114549894.00,0.00,7823300.00,7872700.00,,5279.00,16760.00,18825.00,
2013,"VX","Virgin America","D","VX","Virgin America",3,3,"F",574251.00,890046468.00,0.00,890046468.00,,89004647.00,0.00,89004647.00,,,0.00,,,,141296340.00,1081581231.00,1081581231.00,0.00,7577373.00,7581925.00,,5203.00,16275.00,18256.00,
2013,"VX","Virgin America","D","VX","Virgin America",3,3,"F",484463.00,737812985.00,0.00,737812985.00,,73781299.00,0.00,73781299.00,,,0.00,,,,125276469.00,963831866.00,963831866.00,0.00,6720961.00,6720961.00,,4761.00,14510.00,16257.00,
2013,"VX","Virgin America","D","VX","Virgin America",3,3,"F",528050.00,793755971.00,0.00,793755971.00,,79375597.00,0.00,79375597.00,,,0.00,,,,128037470.00,984206755.00,984206755.00,0.00,6868658.00,7034821.00,,4870.00,14906.00,16640.00,
2013,"VX","Virgin America","D","VX","Virgin America",3,3,"F",462074.00,692614505.00,0.00,692614505.00,,69261451.00,0.00,69261451.00,,,0.00,,,,123970592.00,952908581.00,952908581.00,0.00,6650416.00,6742502.00,,4668.00,14529.00,16191.00,
2013,"VX","Virgin America","D","VX","Virgin America",3,3,"F",545807.00,830091040.00,0.00,830091040.00,,83009104.00,0.00,83009104.00,,,0.00,,,,131115989.00,1013304754.00,1013304754.00,0.00,7036733.00,7130904.00,,4909.00,15461.00,17242.00,
2013,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",388.00,12106.00,0.00,12106.00,,2014.00,294.00,1211.00,,,509.00,,,,5201.00,52014.00,52014.00,0.00,8669.00,0.00,,359.00,81.00,105.00,
2013,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",407.00,13537.00,0.00,13537.00,,2090.00,288.00,1354.00,,,448.00,,,,5531.00,54940.00,54940.00,0.00,8912.00,0.00,,378.00,84.00,109.00,
2013,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",699.00,24202.00,0.00,24202.00,,3320.00,336.00,2420.00,,,564.00,,,,8527.00,85272.00,85272.00,0.00,14174.00,0.00,,605.00,128.00,168.00,
2013,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",562.00,20556.00,0.00,20556.00,,2994.00,402.00,2056.00,,,536.00,,,,7985.00,79188.00,79188.00,0.00,13198.00,0.00,,537.00,122.00,157.00,
2013,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",872.00,31688.00,0.00,31688.00,,4158.00,435.00,3169.00,,,554.00,,,,11650.00,113362.00,113362.00,0.00,18641.00,0.00,,737.00,190.00,239.00,
2013,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",1442.00,57657.00,0.00,57657.00,,6982.00,677.00,5766.00,,,539.00,,,,18842.00,163138.00,163138.00,0.00,25003.00,0.00,,966.00,247.00,312.00,
2013,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",1805.00,72737.00,0.00,72737.00,,9386.00,1551.00,7274.00,,,561.00,,,,21814.00,182014.00,182014.00,0.00,26871.00,0.00,,1051.00,264.00,334.00,
2013,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",1864.00,75186.00,0.00,75186.00,,9486.00,1236.00,7519.00,,,731.00,,,,23380.00,186940.00,186940.00,0.00,27528.00,0.00,,1095.00,264.00,337.00,
2013,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",1064.00,35049.00,0.00,35049.00,,4551.00,402.00,3505.00,,,645.00,,,,14129.00,119434.00,119434.00,0.00,19021.00,0.00,,797.00,188.00,241.00,
2013,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",838.00,24712.00,0.00,24712.00,,3416.00,274.00,2471.00,,,670.00,,,,10543.00,91592.00,91592.00,0.00,14994.00,0.00,,650.00,161.00,204.00,
2013,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",715.00,22676.00,0.00,22676.00,,2990.00,231.00,2268.00,,,491.00,,,,8631.00,75176.00,75176.00,0.00,12372.00,0.00,,533.00,138.00,173.00,
2013,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",397.00,11627.00,0.00,11627.00,,1861.00,127.00,1163.00,,,572.00,,,,5414.00,46920.00,46920.00,0.00,7820.00,0.00,,339.00,86.00,109.00,
2013,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",17.00,1054.00,0.00,1054.00,,105.00,0.00,105.00,,,0.00,,,,372.00,2976.00,2976.00,0.00,744.00,0.00,,12.00,8.00,10.00,
2013,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",1328.00,259321.00,0.00,259321.00,,25932.00,0.00,25932.00,,,0.00,,,,87929.00,412120.00,412120.00,0.00,51515.00,51515.00,,270.00,241.00,293.00,
2013,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",1352.00,267488.00,0.00,267488.00,,26749.00,0.00,26749.00,,,0.00,,,,86709.00,405904.00,405904.00,0.00,50738.00,50738.00,,266.00,235.00,287.00,
2013,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",1386.00,276064.00,0.00,276064.00,,27606.00,0.00,27606.00,,,0.00,,,,81829.00,384336.00,384336.00,0.00,48042.00,48042.00,,248.00,238.00,288.00,
2013,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",715.00,124109.00,0.00,124109.00,,12411.00,0.00,12411.00,,,0.00,,,,65315.00,287222.00,287222.00,0.00,25328.00,40919.00,,156.00,148.00,182.00,
2013,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",1052.00,205300.00,0.00,205300.00,,20530.00,0.00,20530.00,,,0.00,,,,106685.00,451146.00,451146.00,0.00,40669.00,7837.00,,215.00,206.00,252.00,
2013,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",1052.00,205300.00,0.00,205300.00,,20530.00,0.00,20530.00,,,0.00,,,,106685.00,451146.00,451146.00,0.00,40669.00,7837.00,,215.00,206.00,252.00,
2013,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",1340.00,251653.00,0.00,251653.00,,25165.00,0.00,25165.00,,,0.00,,,,119465.00,484197.00,484197.00,0.00,44723.00,8913.00,,242.00,227.00,284.00,
2013,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",1340.00,251653.00,0.00,251653.00,,25165.00,0.00,25165.00,,,0.00,,,,119465.00,484197.00,484197.00,0.00,44723.00,8913.00,,242.00,227.00,284.00,
2013,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",553.00,103646.00,0.00,103646.00,,10365.00,0.00,10365.00,,,0.00,,,,32932.00,153848.00,153848.00,0.00,19231.00,19231.00,,104.00,87.00,109.00,
2013,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",502.00,97785.00,0.00,97785.00,,9779.00,0.00,9779.00,,,0.00,,,,32724.00,176636.00,176636.00,0.00,22123.00,22123.00,,117.00,100.00,122.00,
2013,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",99.00,105665.00,0.00,105665.00,,10567.00,0.00,10567.00,,,0.00,,,,36723.00,179380.00,179380.00,0.00,23194.00,23194.00,,139.00,123.00,148.00,
2013,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",1537.00,292736.00,0.00,292736.00,,29274.00,0.00,29274.00,,,0.00,,,,103873.00,492836.00,492836.00,0.00,62431.00,62431.00,,334.00,284.00,349.00,
2013,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",442.00,13306.00,0.00,13306.00,,2029.00,137.00,1331.00,,,561.00,,,,5942.00,52434.00,52434.00,0.00,8739.00,0.00,,293.00,112.00,124.00,
2013,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",439.00,13316.00,0.00,13316.00,,2029.00,173.00,1332.00,,,524.00,,,,5582.00,48840.00,48840.00,0.00,8140.00,0.00,,280.00,106.00,118.00,
2013,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",703.00,22611.00,0.00,22611.00,,3205.00,292.00,2261.00,,,652.00,,,,8924.00,79806.00,79806.00,0.00,13301.00,0.00,,454.00,169.00,189.00,
2013,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",796.00,27883.00,0.00,27883.00,,3883.00,500.00,2788.00,,,594.00,,,,10849.00,97548.00,97548.00,0.00,16258.00,0.00,,512.00,200.00,221.00,
2013,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",973.00,37729.00,0.00,37729.00,,4744.00,267.00,3773.00,,,704.00,,,,12851.00,118797.00,118797.00,0.00,20044.00,0.00,,612.00,238.00,265.00,
2013,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",1767.00,77475.00,0.00,77475.00,,8865.00,453.00,7748.00,,,665.00,,,,21056.00,199389.00,199389.00,0.00,35195.00,0.00,,907.00,402.00,439.00,
2013,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",2669.00,122623.00,0.00,122623.00,,13322.00,352.00,12262.00,,,708.00,,,,27986.00,269259.00,269259.00,0.00,47293.00,0.00,,1178.00,528.00,578.00,
2013,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",2617.00,114075.00,0.00,114075.00,,12497.00,302.00,11408.00,,,787.00,,,,27080.00,260160.00,260160.00,0.00,45477.00,0.00,,1174.00,522.00,571.00,
2013,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",1058.00,40277.00,0.00,40277.00,,4869.00,253.00,4028.00,,,588.00,,,,12319.00,117864.00,117864.00,0.00,19725.00,0.00,,602.00,238.00,264.00,
2013,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",600.00,20947.00,0.00,20947.00,,3082.00,303.00,2095.00,,,685.00,,,,7691.00,75042.00,75042.00,0.00,12644.00,0.00,,418.00,159.00,177.00,
2013,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",412.00,14036.00,0.00,14036.00,,2042.00,171.00,1404.00,,,468.00,,,,6388.00,56202.00,56202.00,0.00,9459.00,0.00,,319.00,119.00,133.00,
2013,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",377.00,12477.00,0.00,12477.00,,1923.00,145.00,1248.00,,,531.00,,,,5611.00,49356.00,49356.00,0.00,8226.00,0.00,,282.00,105.00,118.00,
2013,"CP","Compass Airlines","D","CP","Compass Airlines",2,2,"F",271635.00,204437400.00,0.00,204437400.00,,20443924.00,184.00,20443740.00,,,0.00,,,,38665890.00,294261277.00,294261277.00,0.00,3916720.00,3972940.00,,5312.00,9657.00,12078.00,
2013,"CP","Compass Airlines","D","CP","Compass Airlines",2,2,"F",264138.00,192166605.00,0.00,192166605.00,,19216714.00,53.00,19216661.00,,,0.00,,,,34475572.00,262405447.00,262405447.00,0.00,3491744.00,3592576.00,,4828.00,8551.00,10827.00,
2013,"CP","Compass Airlines","D","CP","Compass Airlines",2,2,"F",328316.00,244028932.00,0.00,244028932.00,,24403259.00,366.00,24402893.00,,,0.00,,,,41980849.00,319681930.00,319681930.00,0.00,4247100.00,4343673.00,,5754.00,10312.00,12785.00,
2013,"CP","Compass Airlines","D","CP","Compass Airlines",2,2,"F",312086.00,232403456.00,0.00,232403456.00,,23240746.00,400.00,23240346.00,,,0.00,,,,40704154.00,309644454.00,309644454.00,0.00,4124104.00,4191488.00,,5562.00,10079.00,12484.00,
2013,"CP","Compass Airlines","D","CP","Compass Airlines",2,2,"F",334604.00,244953547.00,0.00,244953547.00,,24495528.00,174.00,24495355.00,,,0.00,,,,41042548.00,312280995.00,312280995.00,0.00,4158529.00,4218999.00,,5753.00,10103.00,12499.00,
2013,"CP","Compass Airlines","D","CP","Compass Airlines",2,2,"F",340759.00,257815213.00,0.00,257815213.00,,25781754.00,233.00,25781521.00,,,0.00,,,,41533193.00,315823618.00,315823618.00,0.00,4210583.00,4278934.00,,5653.00,10191.00,12600.00,
