"YEAR","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","SERVICE_CLASS","REV_PAX_ENP_110","REV_PAX_MILES_140","REV_PAX_MILES_COACH","REV_PAX_MILES_FIRST","NON_REV_PAX_MILES","REV_TON_MILES_240","REV_TON_MILES_FREIGHT_247","REV_TON_MILES_PAX_241","REV_TON_MILES_USPR_MAIL","REV_TON_MILES_USNONPR_MAIL","REV_TON_MILES_MAIL_249","REV_TON_MILES_FOREIGN_MAIL","REV_TON_MILES_EXPRESS_MAIL","NON_REV_TON_MILES","AVL_TON_MILES_280","AVL_SEAT_MILES_320","AVL_SEAT_MILES_FIRST","AVL_SEAT_MILES_COACH","REV_ACRFT_MILES_FLOWN_410","REV_ACRFT_MILES_SCH_430","REV_ACRFT_MILES_SCH_COMPLETED","REV_ACRFT_DEP_PERF_510","REV_ACRFT_HRS_AIRBORNE_610","ACRFT_HRS_RAMPTORAMP_630",
2014,"VX","Virgin America","D","VX","Virgin America",3,3,"F",478248.00,720611576.00,0.00,720611576.00,,72061158.00,0.00,72061158.00,,,0.00,,,,122674998.00,941802072.00,941802072.00,0.00,6580470.00,6708556.00,,4695.00,14466.00,16157.00,
2014,"VX","Virgin America","D","VX","Virgin America",3,3,"F",435219.00,626416851.00,0.00,626416851.00,,62641685.00,0.00,62641685.00,,,0.00,,,,106244627.00,814385051.00,814385051.00,0.00,5698183.00,5973769.00,,4106.00,12653.00,14176.00,
2014,"VX","Virgin America","D","VX","Virgin America",3,3,"F",499297.00,791915024.00,0.00,791915024.00,,79191502.00,0.00,79191502.00,,,0.00,,,,122910237.00,940493123.00,940493123.00,0.00,6591457.00,6674055.00,,4673.00,14485.00,16165.00,
2014,"VX","Virgin America","D","VX","Virgin America",3,3,"F",543958.00,838935198.00,0.00,838935198.00,,83893520.00,0.00,83893520.00,,,0.00,,,,130563272.00,1000183931.00,1000183931.00,0.00,7002265.00,7070274.00,,4854.00,15310.00,17089.00,
2014,"VX","Virgin America","D","VX","Virgin America",3,3,"F",561305.00,874149799.00,0.00,874149799.00,,87414980.00,0.00,87414980.00,,,0.00,,,,135219072.00,1035593109.00,1035593109.00,0.00,7251477.00,7263927.00,,4965.00,15776.00,17715.00,
2014,"VX","Virgin America","D","VX","Virgin America",3,3,"F",574342.00,925593175.00,0.00,925593175.00,,92559318.00,0.00,92559318.00,,,0.00,,,,140885368.00,1075075860.00,1075075860.00,0.00,7553205.00,7559244.00,,4948.00,16358.00,18372.00,
2014,"VX","Virgin America","D","VX","Virgin America",3,3,"F",582462.00,953498115.00,0.00,953498115.00,,95349812.00,0.00,95349812.00,,,0.00,,,,147270618.00,1122722339.00,1122722339.00,0.00,7895068.00,7907310.00,,5079.00,16874.00,18989.00,
2014,"VX","Virgin America","D","VX","Virgin America",3,3,"F",570439.00,915072086.00,0.00,915072086.00,,91507209.00,0.00,91507209.00,,,0.00,,,,139543018.00,1069276331.00,1069276331.00,0.00,7483747.00,7486675.00,,4886.00,16035.00,17974.00,
2014,"VX","Virgin America","D","VX","Virgin America",3,3,"F",486828.00,751708075.00,0.00,751708075.00,,75170808.00,0.00,75170808.00,,,0.00,,,,123885511.00,948724543.00,948724543.00,0.00,6643826.00,6650550.00,,4547.00,14328.00,16035.00,
2014,"VX","Virgin America","D","VX","Virgin America",3,3,"F",516062.00,796126149.00,0.00,796126149.00,,79612615.00,0.00,79612615.00,,,0.00,,,,126489948.00,970204352.00,970204352.00,0.00,6784318.00,6790156.00,,4719.00,14754.00,16506.00,
2014,"VX","Virgin America","D","VX","Virgin America",3,3,"F",508009.00,769006766.00,0.00,769006766.00,,76900677.00,0.00,76900677.00,,,0.00,,,,126596363.00,972361535.00,972361535.00,0.00,6790702.00,6796152.00,,4716.00,14822.00,16579.00,
2014,"VX","Virgin America","D","VX","Virgin America",3,3,"F",557729.00,854374856.00,0.00,854374856.00,,85437486.00,0.00,85437486.00,,,0.00,,,,133605782.00,1025676408.00,1025676408.00,0.00,7166436.00,7197158.00,,4935.00,15726.00,17698.00,
2014,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",579.00,15276.00,0.00,15276.00,,2174.00,173.00,1528.00,,,474.00,,,,6659.00,58218.00,58218.00,0.00,9703.00,0.00,,462.00,103.00,134.00,
2014,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",474.00,14255.00,0.00,14255.00,,1960.00,232.00,1426.00,,,303.00,,,,6544.00,56988.00,56988.00,0.00,9434.00,0.00,,406.00,104.00,131.00,
2014,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",545.00,18093.00,0.00,18093.00,,2251.00,240.00,1809.00,,,202.00,,,,6353.00,54418.00,54418.00,0.00,8851.00,0.00,,418.00,96.00,124.00,
2014,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",703.00,22807.00,0.00,22807.00,,2869.00,371.00,2281.00,,,218.00,,,,7167.00,61942.00,61942.00,0.00,9475.00,0.00,,455.00,103.00,133.00,
