"YEAR","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","SERVICE_CLASS","REV_PAX_ENP_110","REV_PAX_MILES_140","REV_PAX_MILES_COACH","REV_PAX_MILES_FIRST","NON_REV_PAX_MILES","REV_TON_MILES_240","REV_TON_MILES_FREIGHT_247","REV_TON_MILES_PAX_241","REV_TON_MILES_USPR_MAIL","REV_TON_MILES_USNONPR_MAIL","REV_TON_MILES_MAIL_249","REV_TON_MILES_FOREIGN_MAIL","REV_TON_MILES_EXPRESS_MAIL","NON_REV_TON_MILES","AVL_TON_MILES_280","AVL_SEAT_MILES_320","AVL_SEAT_MILES_FIRST","AVL_SEAT_MILES_COACH","REV_ACRFT_MILES_FLOWN_410","REV_ACRFT_MILES_SCH_430","REV_ACRFT_MILES_SCH_COMPLETED","REV_ACRFT_DEP_PERF_510","REV_ACRFT_HRS_AIRBORNE_610","ACRFT_HRS_RAMPTORAMP_630",
2010,"VX","Virgin America","D","VX","Virgin America",2,2,"F",287612.00,438900931.00,0.00,438900931.00,,43890093.00,0.00,43890093.00,,,0.00,,,,81845218.00,599118147.00,599118147.00,0.00,4371375.00,4379538.00,,2870.00,9549.00,10589.00,
2010,"VX","Virgin America","D","VX","Virgin America",2,2,"F",266294.00,399322269.00,0.00,399322269.00,,39932227.00,0.00,39932227.00,,,0.00,,,,73308932.00,533314316.00,533314316.00,0.00,3914194.00,4065342.00,,2651.00,8597.00,9559.00,
2010,"VX","Virgin America","D","VX","Virgin America",2,2,"F",329083.00,504876014.00,0.00,504876014.00,,50487601.00,0.00,50487601.00,,,0.00,,,,86782006.00,638066082.00,638066082.00,0.00,4637088.00,4650624.00,,3161.00,10155.00,11293.00,
2010,"VX","Virgin America","D","VX","Virgin America",2,2,"F",319637.00,495581408.00,0.00,495581408.00,,49558141.00,0.00,49558141.00,,,0.00,,,,83402971.00,619201848.00,619201848.00,0.00,4459662.00,4463176.00,,3005.00,9755.00,10831.00,
2010,"VX","Virgin America","D","VX","Virgin America",2,2,"F",316771.00,508391738.00,0.00,508391738.00,,50839174.00,0.00,50839174.00,,,0.00,,,,85126278.00,636818068.00,636818068.00,0.00,4554332.00,4555970.00,,3017.00,9935.00,11046.00,
2010,"VX","Virgin America","D","VX","Virgin America",2,2,"F",326801.00,538523212.00,0.00,538523212.00,,53852321.00,0.00,53852321.00,,,0.00,,,,84200020.00,626414921.00,626414921.00,0.00,4502959.00,4505715.00,,2880.00,9683.00,10777.00,
2010,"VX","Virgin America","D","VX","Virgin America",2,2,"F",338258.00,566762891.00,0.00,566762891.00,,56676289.00,0.00,56676289.00,,,0.00,,,,90379511.00,670891369.00,670891369.00,0.00,4832651.00,4832651.00,,3042.00,10256.00,11383.00,
2010,"VX","Virgin America","D","VX","Virgin America",2,2,"F",348957.00,581406280.00,0.00,581406280.00,,58140628.00,0.00,58140628.00,,,0.00,,,,90509028.00,671779412.00,671779412.00,0.00,4839538.00,4839538.00,,3035.00,10246.00,11404.00,
2010,"VX","Virgin America","D","VX","Virgin America",2,2,"F",298945.00,492953119.00,0.00,492953119.00,,49295312.00,0.00,49295312.00,,,0.00,,,,81605749.00,604948494.00,604948494.00,0.00,4363086.00,4370891.00,,2739.00,9306.00,10339.00,
2010,"VX","Virgin America","D","VX","Virgin America",2,2,"F",336408.00,547382404.00,0.00,547382404.00,,54738240.00,0.00,54738240.00,,,0.00,,,,89047206.00,658633667.00,658633667.00,0.00,4760173.00,4778379.00,,2978.00,10197.00,11315.00,
2010,"VX","Virgin America","D","VX","Virgin America",2,2,"F",359759.00,576444395.00,0.00,576444395.00,,57644440.00,0.00,57644440.00,,,0.00,,,,92204277.00,685999470.00,685999470.00,0.00,4931040.00,4931824.00,,3119.00,10703.00,11811.00,
2010,"VX","Virgin America","D","VX","Virgin America",2,2,"F",360614.00,583427466.00,0.00,583427466.00,,58342747.00,0.00,58342747.00,,,0.00,,,,94407249.00,703265465.00,703265465.00,0.00,5049349.00,2045276.00,,3216.00,11134.00,23647.00,
2010,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",408.00,13612.00,0.00,13612.00,,2076.00,153.00,1361.00,,,562.00,,,,5535.00,55350.00,55350.00,0.00,9225.00,0.00,,389.00,82.00,108.00,
2010,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",610.00,18964.00,0.00,18964.00,,2543.00,150.00,1896.00,,,497.00,,,,6074.00,60744.00,60744.00,0.00,10124.00,0.00,,438.00,90.00,119.00,
2010,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",535.00,16272.00,0.00,16272.00,,2550.00,257.00,1627.00,,,666.00,,,,6548.00,65478.00,65478.00,0.00,10913.00,0.00,,441.00,99.00,129.00,
2010,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",860.00,30634.00,0.00,30634.00,,4015.00,295.00,3063.00,,,657.00,,,,10401.00,104008.00,104008.00,0.00,16790.00,0.00,,664.00,150.00,195.00,
2010,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",958.00,39126.00,0.00,39126.00,,4997.00,285.00,3913.00,,,800.00,,,,14024.00,139940.00,139940.00,0.00,21648.00,0.00,,857.00,200.00,257.00,
2010,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",1132.00,48333.00,0.00,48333.00,,5938.00,390.00,4833.00,,,715.00,,,,15059.00,149396.00,149396.00,0.00,22410.00,0.00,,861.00,211.00,269.00,
2010,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",1804.00,76509.00,0.00,76509.00,,8801.00,499.00,7651.00,,,651.00,,,,18777.00,185738.00,185738.00,0.00,26225.00,0.00,,1021.00,243.00,311.00,
2010,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",1744.00,70444.00,0.00,70444.00,,8468.00,666.00,7044.00,,,757.00,,,,18029.00,178404.00,178404.00,0.00,25868.00,0.00,,1028.00,247.00,315.00,
2010,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",1109.00,41839.00,0.00,41839.00,,5282.00,342.00,4184.00,,,756.00,,,,13508.00,133838.00,133838.00,0.00,20249.00,0.00,,790.00,187.00,239.00,
2010,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",683.00,23784.00,0.00,23784.00,,3409.00,279.00,2378.00,,,752.00,,,,9774.00,93412.00,93412.00,0.00,12212.00,0.00,,470.00,108.00,139.00,
2010,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",444.00,15902.00,0.00,15902.00,,2501.00,286.00,1590.00,,,625.00,,,,7204.00,69642.00,69642.00,0.00,9037.00,0.00,,376.00,79.00,104.00,
2010,"Z3Q","PM Air, LLC","D","Z3","PM Air, LLC",1,5,"F",504.00,19250.00,0.00,19250.00,,3099.00,312.00,1925.00,,,862.00,,,,9381.00,88496.00,88496.00,0.00,11204.00,0.00,,447.00,97.00,127.00,
2010,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",6.00,2852.00,0.00,2852.00,,285.00,0.00,285.00,,,0.00,,,,570.00,4588.00,4588.00,0.00,1116.00,0.00,,18.00,12.00,16.00,
2010,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",58.00,3596.00,0.00,3596.00,,360.00,0.00,360.00,,,0.00,,,,620.00,5084.00,5084.00,0.00,1116.00,0.00,,18.00,12.00,17.00,
2010,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",40.00,2480.00,0.00,2480.00,,248.00,0.00,248.00,,,0.00,,,,570.00,4588.00,4588.00,0.00,1116.00,0.00,,18.00,12.00,17.00,
2010,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",21.00,1302.00,0.00,1302.00,,130.00,0.00,130.00,,,0.00,,,,446.00,3472.00,3472.00,0.00,992.00,0.00,,16.00,10.00,14.00,
2010,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",22.00,1364.00,0.00,1364.00,,136.00,0.00,136.00,,,0.00,,,,397.00,3100.00,3100.00,0.00,868.00,0.00,,14.00,9.00,12.00,
2010,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",16.00,992.00,0.00,992.00,,99.00,0.00,99.00,,,0.00,,,,446.00,3472.00,3472.00,0.00,992.00,0.00,,16.00,11.00,15.00,
2010,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",7.00,434.00,0.00,434.00,,43.00,0.00,43.00,,,0.00,,,,149.00,1116.00,1116.00,0.00,372.00,0.00,,6.00,3.00,4.00,
2010,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",455.00,96005.00,0.00,96005.00,,9601.00,0.00,9601.00,,,0.00,,,,34546.00,165424.00,165424.00,0.00,20678.00,20678.00,,98.00,115.00,134.00,
2010,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",520.00,109720.00,0.00,109720.00,,10972.00,0.00,10972.00,,,0.00,,,,35891.00,172176.00,172176.00,0.00,21522.00,21522.00,,102.00,120.00,139.00,
2010,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",883.00,186313.00,0.00,186313.00,,18631.00,0.00,18631.00,,,0.00,,,,61543.00,293712.00,293712.00,0.00,36714.00,36714.00,,174.00,218.00,251.00,
