"YEAR","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","SERVICE_CLASS","REV_PAX_ENP_110","REV_PAX_MILES_140","REV_PAX_MILES_COACH","REV_PAX_MILES_FIRST","NON_REV_PAX_MILES","REV_TON_MILES_240","REV_TON_MILES_FREIGHT_247","REV_TON_MILES_PAX_241","REV_TON_MILES_USPR_MAIL","REV_TON_MILES_USNONPR_MAIL","REV_TON_MILES_MAIL_249","REV_TON_MILES_FOREIGN_MAIL","REV_TON_MILES_EXPRESS_MAIL","NON_REV_TON_MILES","AVL_TON_MILES_280","AVL_SEAT_MILES_320","AVL_SEAT_MILES_FIRST","AVL_SEAT_MILES_COACH","REV_ACRFT_MILES_FLOWN_410","REV_ACRFT_MILES_SCH_430","REV_ACRFT_MILES_SCH_COMPLETED","REV_ACRFT_DEP_PERF_510","REV_ACRFT_HRS_AIRBORNE_610","ACRFT_HRS_RAMPTORAMP_630",
2011,"VX","Virgin America","D","VX","Virgin America",2,2,"F",304168.00,508838306.00,0.00,508838306.00,,50883831.00,0.00,50883831.00,,,0.00,,,,94803128.00,709124230.00,709124230.00,0.00,5072444.00,5210040.00,,3215.00,11030.00,12220.00,
2011,"VX","Virgin America","D","VX","Virgin America",2,2,"F",298402.00,483852651.00,0.00,483852651.00,,48385265.00,0.00,48385265.00,,,0.00,,,,85295853.00,637587147.00,637587147.00,0.00,4563621.00,4679592.00,,2894.00,10013.00,11099.00,
2011,"VX","Virgin America","D","VX","Virgin America",2,2,"F",372849.00,613043087.00,0.00,613043087.00,,61304309.00,0.00,61304309.00,,,0.00,,,,101045450.00,757766922.00,757766922.00,0.00,5407830.00,5414258.00,,3381.00,11924.00,13205.00,
2011,"VX","Virgin America","D","VX","Virgin America",2,2,"F",376844.00,602321899.00,0.00,602321899.00,,60232190.00,0.00,60232190.00,,,0.00,,,,99069608.00,743376231.00,743376231.00,0.00,5302464.00,5312920.00,,3412.00,11695.00,12940.00,
2011,"VX","Virgin America","D","VX","Virgin America",2,2,"F",416601.00,656064844.00,0.00,656064844.00,,65606484.00,0.00,65606484.00,,,0.00,,,,106016510.00,797021339.00,797021339.00,0.00,5675350.00,5681332.00,,3645.00,12398.00,13740.00,
2011,"VX","Virgin America","D","VX","Virgin America",2,2,"F",447883.00,702814528.00,0.00,702814528.00,,70281453.00,0.00,70281453.00,,,0.00,,,,109034838.00,819162931.00,819162931.00,0.00,5836709.00,6009618.00,,3757.00,12616.00,14002.00,
2011,"VX","Virgin America","D","VX","Virgin America",2,2,"F",458884.00,728912199.00,0.00,728912199.00,,72891220.00,0.00,72891220.00,,,0.00,,,,114207594.00,856989234.00,856989234.00,0.00,6113262.00,6127314.00,,3885.00,12967.00,14402.00,
2011,"VX","Virgin America","D","VX","Virgin America",2,2,"F",452311.00,707534758.00,0.00,707534758.00,,70753476.00,0.00,70753476.00,,,0.00,,,,109978496.00,829230606.00,829230606.00,0.00,5889027.00,6051086.00,,3809.00,12545.00,13946.00,
2011,"VX","Virgin America","D","VX","Virgin America",2,2,"F",417803.00,662474127.00,0.00,662474127.00,,66247413.00,0.00,66247413.00,,,0.00,,,,105874387.00,800321765.00,800321765.00,0.00,5670244.00,5670484.00,,3639.00,12145.00,13464.00,
2011,"VX","Virgin America","D","VX","Virgin America",2,2,"F",426301.00,685197086.00,0.00,685197086.00,,68519709.00,0.00,68519709.00,,,0.00,,,,110523244.00,829808387.00,829808387.00,0.00,5916424.00,5917378.00,,3772.00,12782.00,14126.00,
2011,"VX","Virgin America","D","VX","Virgin America",2,2,"F",429326.00,684122192.00,0.00,684122192.00,,68412219.00,0.00,68412219.00,,,0.00,,,,111360903.00,839900112.00,839900112.00,0.00,5971410.00,5920496.00,,3839.00,13396.00,14840.00,
